,AAPL,TSLA,CL=F
0,163649200.0,40725000.0,283623.0
1,270597600.0,102406500.0,431985.0
2,223164000.0,47802000.0,410131.0
3,273829600.0,56686500.0,563811.0
4,324377600.0,53314500.0,617409.0
5,283192000.0,54421500.0,596496.0
6,198957600.0,61371000.0,648640.0
7,196616800.0,46378500.0,627218.0
8,249758400.0,61896000.0,637903.0
9,252680400.0,97360500.0,537906.0
10,319335600.0,83679000.0,329094.0
11,212350800.0,60580500.0,188026.0
12,289337600.0,87579000.0,690039.0
13,208646000.0,47493000.0,694040.0
14,263202000.0,46861500.0,636573.0
15,207178000.0,40480500.0,606892.0
16,300308000.0,74463000.0,642432.0
17,533478800.0,54258000.0,738551.0
18,222715200.0,68892000.0,833378.0
19,257666000.0,42784500.0,618110.0
20,163774000.0,79464000.0,595612.0
21,149428800.0,86604000.0,602564.0
22,183857200.0,118971000.0,811699.0
23,185886800.0,65781000.0,696721.0
24,185672400.0,141564000.0,616531.0
25,216085600.0,139695000.0,603646.0
26,177324800.0,129774000.0,738219.0
27,169374400.0,156097500.0,781280.0
28,200298800.0,213786000.0,795965.0
29,161405600.0,108537000.0,675157.0
30,196231600.0,83907000.0,651956.0
31,179452800.0,87378000.0,578639.0
32,156084000.0,58314000.0,225497.0
33,141496800.0,44391000.0,103202.0
34,137123200.0,75901500.0,521016.0
35,127770400.0,89766000.0,539379.0
36,145022800.0,80934000.0,652245.0
37,110330800.0,86260500.0,611874.0
38,115964400.0,90976500.0,646294.0
39,140865200.0,67485000.0,512468.0
40,201628400.0,100683000.0,566226.0
41,132678400.0,72936000.0,597834.0
42,147822800.0,72435000.0,512962.0
43,184220400.0,97336500.0,578290.0
44,143315600.0,79941000.0,709870.0
45,126247600.0,62680500.0,706933.0
46,108806800.0,48129000.0,740632.0
47,134054400.0,77887500.0,701435.0
48,109632800.0,50146500.0,564791.0
49,100304400.0,60985500.0,489938.0
50,160270800.0,47707500.0,446100.0
51,153214000.0,52750500.0,494174.0
52,137682800.0,56743500.0,298013.0
53,176820800.0,70677000.0,130151.0
54,142010800.0,79617000.0,479337.0
55,129777600.0,64740000.0,463693.0
56,102814000.0,74232000.0,492003.0
57,104532000.0,74413500.0,495168.0
58,77645600.0,58885500.0,299775.0
59,124760400.0,60214500.0,488032.0
60,182404400.0,60495000.0,542469.0
61,103553600.0,120193500.0,532152.0
62,103496000.0,239962500.0,547190.0
63,149424800.0,202129500.0,549477.0
64,106314800.0,149230500.0,485543.0
65,105616400.0,175582500.0,751048.0
66,127207600.0,132843000.0,626749.0
67,94326800.0,110458500.0,817230.0
68,117630000.0,137425500.0,679351.0
69,108929200.0,86448000.0,796837.0
70,133029200.0,73884000.0,730437.0
71,101895600.0,61983000.0,488614.0
72,187756000.0,56286000.0,520146.0
73,243286000.0,64071000.0,342463.0
74,129539600.0,95362500.0,101734.0
75,122444000.0,77911500.0,796240.0
76,126210000.0,41746500.0,671103.0
77,134732400.0,56794500.0,575107.0
78,112126400.0,55054500.0,606383.0
79,224064800.0,48357000.0,564392.0
80,458408400.0,48087000.0,648028.0
81,328970800.0,37785000.0,487412.0
82,274126000.0,81207000.0,598439.0
83,192640400.0,57658500.0,464027.0
84,227325200.0,64533000.0,625551.0
85,164102000.0,130507500.0,711125.0
86,143562000.0,168822000.0,746159.0
87,174799600.0,85278000.0,695306.0
88,131745600.0,71646000.0,767568.0
89,134747200.0,61059000.0,709415.0
90,114876400.0,77428500.0,869957.0
91,305258800.0,54757500.0,715102.0
92,177571200.0,42342000.0,519363.0
93,245039200.0,44241000.0,550863.0
94,187667600.0,42654000.0,470440.0
95,168249600.0,84262500.0,343184.0
96,121768400.0,102994500.0,108816.0
97,128104000.0,135106500.0,538047.0
98,152074400.0,76537500.0,475453.0
99,140560800.0,45207000.0,475965.0
100,152675200.0,46902000.0,550501.0
101,225324800.0,61086000.0,488465.0
102,145364800.0,54754500.0,406386.0
103,169228800.0,41835000.0,476988.0
104,116693200.0,44740500.0,568839.0
105,160766400.0,30492000.0,564846.0
106,114019600.0,33435000.0,481034.0
107,93170000.0,33742500.0,450472.0
108,89638000.0,93204000.0,542254.0
109,83392400.0,89580000.0,656416.0
110,106405600.0,67381500.0,560723.0
111,126851600.0,90399000.0,596119.0
112,152082000.0,62895000.0,506036.0
113,127727600.0,53703000.0,456144.0
114,117780800.0,43627500.0,527870.0
115,125307200.0,36604500.0,507910.0
116,244032800.0,46689000.0,226653.0
117,137647600.0,53332500.0,98293.0
118,142185600.0,67935000.0,475407.0
119,116876400.0,356136000.0,569939.0
120,128960800.0,151960500.0,401885.0
121,301245600.0,105397500.0,649446.0
122,181958400.0,108081000.0,504613.0
123,161779600.0,93186000.0,498851.0
124,146124000.0,89923500.0,511476.0
125,143345600.0,72646500.0,508736.0
