,SONY,RBLX,NVDA,U,SPOT
0,846200,,16630000,,
1,1229900,,11368000,,
2,1083100,,19795200,,
3,2209100,,19776400,,
4,2486300,,32180800,,
5,1296500,,28378000,,
6,3013200,,20954000,,
7,1995900,,19073200,,
8,1777500,,23672000,,
9,2420600,,15526000,,
10,2456900,,18893200,,
11,2586900,,18151200,,
12,1063300,,14030800,,
13,4272800,,14478000,,
14,1923700,,15971200,,
15,2962800,,12041600,,
16,3593400,,13324000,,
17,1649500,,35794800,,
18,3503900,,27272800,,
19,2570800,,23534000,,
20,2265800,,29820000,,
21,1627100,,25960400,,
22,2044200,,18346800,,
23,9220200,,18151600,,
24,3566500,,14044800,,
25,1929500,,21052400,,
26,2391900,,27394400,,
27,2161800,,22620400,,
28,1556900,,32083200,,
29,2915700,,67690400,,
30,1552200,,31008400,,
31,2228800,,20334000,,
32,5021600,,17094800,,
33,2576200,,16943200,,
34,2266200,,15775200,,
35,1468400,,12500800,,
36,1686300,,14935600,,
37,983100,,12382000,,
38,1228700,,15286400,,
39,1668400,,15749200,,
40,1209700,,30151200,,
41,1238200,,16034400,,
42,1003900,,22684000,,
43,1216800,,32305600,,
44,1421800,,25739200,,
45,1011200,,22238800,,
46,1540000,,52721200,,
47,1519100,,26212000,,
48,1190100,,40697200,,
49,1511000,,35928800,,
50,2378800,,23695600,,
51,1860100,,29990000,,
52,2444300,,41384400,,
53,1054600,,31075600,,
54,1455200,,46208400,,
55,1253400,,42601200,,
56,943800,,33048000,,
57,2656900,,54255200,,
58,1129900,,31192000,,
59,839300,,31828800,,
60,1368800,,25325200,,
61,1751300,,35727600,,
62,1918600,,33076800,,
63,1661400,,19220400,,
64,2452800,,51586400,,
65,1581700,,41396400,,
66,1370300,,36643200,,
67,1658100,,37943200,,
68,2192900,,25872800,,
69,1395200,,23672400,,
70,2717100,,22027600,,
71,4385700,,24356000,,
72,2524300,,15528400,,
73,3535300,,29363600,,
74,1042700,,23162400,,
75,1867500,,23045600,,
76,3774300,,20742000,,
77,4146600,,25938000,,
78,3291100,,24096000,,
79,1472600,,24845600,,
80,957100,,23448400,,
81,1089200,,19515600,,
82,1271100,,21884400,,
83,1366400,,25696800,,
84,1223000,,20072000,,
85,1653600,,29292800,,
86,1977500,,31648400,,
87,998600,,53456400,,
88,958500,,114655200,,
89,890300,,54414400,,
90,2997000,,38880000,,
91,3731100,,30852400,,
92,2221000,,29305200,,
93,1598700,,21582400,,
94,646900,,32497200,,
95,1594000,,25380800,,
96,940500,,19682400,,
97,982000,,23969200,,
98,1055400,,21259200,,
99,1240900,,25973200,,
100,1011300,,43233200,,
101,1727500,,32765600,,
102,734900,,33516800,,
103,1367100,,37266000,,
104,1712300,,22430400,,
105,1321700,,25078800,,
106,1221900,,32371200,,
107,1389900,,31332000,,
108,1286900,,34281200,,
109,1550100,,25688800,,
110,864100,,52946000,,
111,746000,,28305200,,
112,621300,,32372800,,
113,1010400,,30654800,,
114,748200,,25689200,,
115,1066600,,23354400,,
116,563900,,29940400,,
117,721000,,35565600,,
118,787400,,51423600,,
119,712800,,41406400,,
120,734500,,25336800,,
121,1122200,,35046000,,
122,936700,,42129600,,
123,1250900,,39172400,,
124,2841600,,31591600,,
125,1106900,,30289200,,
126,761400,,14576400,,
127,695000,,21477600,,
128,1178300,,59425200,,
129,1531100,,33249200,,
130,2573300,,35758800,,
131,4510400,,21670800,,
132,6232100,,21247200,,
133,1555200,,24921600,,
134,1260000,,26573200,,
135,1412900,,28284800,,
136,1064300,,22037200,,
137,1392300,,18841200,,
138,3538200,,14972000,,
139,996900,,35647200,,
140,1516900,,16991600,,
141,2232700,,18884400,,
142,2822600,,19242000,,
143,994800,,19830800,,
144,985200,,23268000,,
145,2118400,,19018000,,
146,1106800,,21834000,,
147,1447500,,39713200,,
148,1361600,,26010000,,
149,1342100,,23462800,,
150,1151300,,65567600,,
151,624200,,140524800,,
152,673700,,66230400,,
153,1059800,,43500800,,
154,1082200,,38404800,,
155,742800,,27688400,,
156,381200,,21465200,,
157,502500,,27388000,,
158,448200,,28708400,,
159,1022800,,24924800,,
160,1425200,,42693200,,
161,1531300,,38266400,,
162,2291000,,68228400,,
163,1651800,,62268400,,
164,2491000,,61497600,,
165,1866700,,46376400,,
166,1321600,,32094400,,
167,1275500,,21935200,,
168,1410100,,35340800,,
169,876400,,34404400,,
170,1714100,,26255600,,
171,1040900,,28797200,,
172,1618500,,23844800,,
173,1786200,,28939200,,
174,1560000,,35707600,,
175,1408600,,30158400,,
176,709800,,19246000,,
177,1082800,,32797600,,
178,1127000,,17350800,,
179,1484900,,26871200,,
180,1247600,,32641200,,
181,735100,,28184000,,
182,1215200,,22835600,,
183,1825400,,16163200,,
184,2705000,,38244000,,
185,1504100,,36969200,,
186,3395700,,39558400,,
187,1673500,,38073600,,
188,1074000,,55638000,,
189,1582000,,48929600,,
190,2212600,,38614400,,
191,1831300,,48202400,,
192,929900,,45321600,,
193,593300,,31015200,,
194,1677200,,46006800,,
195,654600,,42324800,,
196,746900,,22758800,,
197,384200,,29844400,,
198,477700,,61214800,,
199,776700,,52604800,,
200,770400,,44839600,,
201,796400,,29471200,,
202,563600,,26482400,,
203,1438500,,38628000,,
204,1493700,,30688400,,
205,1624500,,38177600,,
206,1271700,,24743600,,
207,776400,,20826800,,
208,951800,,21703600,,
209,1884900,,32716800,,
210,718600,,30116000,,
211,714100,,19008800,,
212,680400,,37676800,,
213,886700,,44226400,,
214,536700,,47880000,,
215,904500,,117227200,,
216,661800,,49256800,,
217,481500,,55226000,,
218,568200,,61989600,,
219,528800,,29108000,,
220,771500,,29294000,,
221,632200,,34428000,,
222,1471000,,25704800,,
223,935100,,35021600,,
224,567400,,25407200,,
225,520100,,23974400,,
226,645500,,24255200,,
227,673700,,19542800,,
228,626200,,13830000,,
229,212100,,8699600,,
230,882400,,32724400,,
231,603100,,40949600,,
232,2038500,,29424000,,
233,1750700,,24665600,,
234,1432100,,45875600,,
235,478700,,33358800,,
236,1280100,,31448800,,
237,1375500,,37267600,,
238,936500,,23659600,,
239,1308200,,22732000,,
240,1906100,,27589200,,
241,1973400,,30729600,,
242,2199300,,23635600,,
243,981400,,25416000,,
244,1159500,,39589600,,
245,1472100,,28421600,,
246,989500,,13001200,,
247,1130200,,12252400,,
248,467400,,5244800,,
249,590100,,14202400,,
250,657600,,20366000,,
251,344900,,18034400,,
252,688900,,14852800,,
253,2482200,,35807600,,
254,3482600,,49027200,,
255,5280900,,44934400,,
256,2109400,,64530400,,
257,1869600,,39847200,,
258,2392400,,40937200,,
259,2060500,,46935600,,
260,2372000,,48167200,,
261,3010700,,60023600,,
262,1662000,,84145200,,
263,2170200,,45714000,,
264,2711600,,48118000,,
265,1303000,,48145600,,
266,1689200,,25799600,,
267,1177500,,27072800,,
268,1078300,,22794400,,
269,739900,,23170000,,
270,2452800,,27677600,,
271,5517000,,31050400,,
272,1908700,,28988400,,
273,2829000,,34190800,,
274,1575300,,32677200,,
275,980700,,34814000,,
276,1225500,,60042800,,
277,1545200,,60885200,,
278,3052300,,42537200,,
279,963800,,33580000,,
280,1243500,,34014400,,
281,1160900,,34081600,,
282,1274300,,48535200,,
